,Rookie Year,Name,rpts,rrebs,rasts,rstls,rblks,rtos,rmin,rgamp,rgams,rfg%,rft%,r3fg%,rWS/48,rBPM,rPER,rTS%,rVORP,pts,rebs,asts,stls,blks,tos,fg%,ft%,3fg%,WS/48,BPM,PER,TS%,VORP,2kRank
52,2011,Tiago Splitter,13.56097561,9.804878049,1.268292683,1.414634146,0.829268293,1.56097561,738,60,6,0.528795812,0.542857143,0,0.149,-0.7,16,0.55,0.2,13.68056648,10.28166798,2.549173879,0.821400472,0.878048781,2.124311566,0.523121387,0.699421965,0,0.163,1.9,16.5,0.572,1.3,77
53,2011,Evan Turner,11.31886477,6.130217028,3.185308848,0.98163606,0.280467446,1.602671119,1797,78,14,0.425330813,0.808,0.318181818,0.06,-2.4,10.8,0.484,-0.2,17.92364793,6.146341463,3.779427359,1.06892895,0.095440085,2.95864263,0.428399519,0.828947368,0.287878788,0.017,-3.8,13.2,0.504,-0.9,76
54,2011,Ekpe Udoh,8.248543689,6.326213592,1.398058252,0.768932039,3.005825243,1.677669903,1030,58,18,0.436936937,0.65625,0,0.032,-2,9.7,0.472,0,6.447761194,6.626865672,1.388059701,0.671641791,1.970149254,1.701492537,0.398601399,0.638297872,0,0,-3.5,7.6,0.44,-0.3,68
55,2011,Greivis Vásquez,10.42325581,3.055813953,6.320930233,0.920930233,0.167441861,2.930232558,860,70,1,0.407725322,0.772727273,0.290697674,0.03,-4.6,9.4,0.493,-0.6,15.94520548,3.808219178,6.246575342,0.684931507,0.109589041,2.767123288,0.417322835,0.855263158,0.389121339,0.096,-0.8,14.2,0.537,0.4,76
56,2011,John Wall,15.62394474,4.379125096,7.929393707,1.671527245,0.483499616,3.60552571,2606,69,64,0.409465021,0.765903308,0.295652174,0.041,-0.2,15.8,0.494,1.2,19.12348993,4.022818792,8.710067114,1.8,0.483221477,3.563758389,0.433059088,0.804568528,0.350649351,0.128,2.6,19.5,0.524,3.4,86
57,2012,Lavoy Allen,9.75,9.865384615,1.961538462,0.75,1.038461538,1.153846154,624,41,15,0.473053892,0.785714286,0,0.124,-1.3,12.7,0.488,0.1,10.59813084,10.86728972,2.456074766,0.504672897,1.413084112,1.345794393,0.471571906,0.70212766,0,0.127,0.8,14.9,0.493,0.8,72
58,2012,Bismack Biyombo,8.090721649,9.105154639,0.668041237,0.494845361,2.845360825,1.756701031,1455,63,41,0.464028777,0.482517483,0,0.019,-3.9,10.6,0.48,-0.7,8.804505229,11.78761062,0.463395012,0.521319389,2.867256637,1.506033789,0.543010753,0.582857143,0,0.156,-0.4,15.2,0.578,0.5,78
59,2012,Jimmy Butler,10.93036212,5.615598886,1.403899721,1.103064067,0.501392758,1.403899721,359,42,0,0.405063291,0.767857143,0.181818182,0.144,-1.3,12.5,0.526,0.1,18.63748508,5.42936729,3.037007561,1.633107839,0.515718265,1.332272185,0.461622807,0.833693305,0.378238342,0.214,4.7,21.3,0.583,4.2,88
60,2012,Norris Cole,12.6,2.6,3.8,1.257142857,0.057142857,3,1260,65,2,0.393333333,0.776470588,0.27631579,0,-5.9,7.9,0.452,-1.2,9.25087108,3.386759582,5.174216028,1.317073171,0.25087108,1.818815331,0.385620915,0.695652174,0.264705882,0.027,-2.9,9.9,0.452,-0.3,74
61,2012,Kenneth Faried,16.35101254,12.219865,1.24975892,1.180327869,1.631629701,1.87463838,1037,46,39,0.585760518,0.664634146,0,0.212,3.4,21.9,0.618,1.4,16.32598274,11.5282838,1.535953979,1.069990412,0.983700863,2.036433365,0.506793478,0.690972222,0.125,0.13,0.8,18.4,0.548,1.4,80
