,Rookie Year,Name,rpts,rrebs,rasts,rstls,rblks,rmin,rgamp,rgams,rfg%,rft%,r3fg%,rWS/48,rBPM,rPER,rTS%,rVORP,pts,rebs,asts,stls,blks,fg%,ft%,3fg%,WS/48,BPM,PER,TS%,VORP,rtos,tos,Tier1,Tier2,Tier3,Tier4,Tier5
49,2011,Patrick Patterson,13.60368664,8.294930876,1.700460829,0.7050691244,1.534562212,868,52,6,0.5580524345,0.7142857143,0,0.134,0.5,16.7,0.574,0.5,14.07155635,7.824686941,2.02862254,1.352415027,1.094812165,0.4768392371,0.7454545455,0.4107142857,0.147,2.8,16.2,0.559,1.4,1.285714286,1.577817531,0,1,0,0,0
50,2011,Nikola Peković,14.57046223,7.833145434,1.095828636,0.7305524239,1.420518602,887,65,11,0.5171102662,0.7631578947,0,0.035,-3.9,11.2,0.573,-0.4,20.43535779,10.13108839,1.082381239,0.6494287432,0.4978953698,0.5406562054,0.7469879518,0,0.169,0.2,20.7,0.582,0.9,3.693348365,1.818400481,0,0,1,0,0
51,2011,Kevin Séraphin,8.730708661,8.617322835,0.5669291339,0.9637795276,1.587401575,635,58,1,0.4489795918,0.7096774194,0,0.017,-4.5,8.4,0.479,-0.4,15.50865052,7.972318339,1.058823529,0.1868512111,1.619377163,0.5045454545,0.8709677419,0,0.066,-5.2,12.5,0.533,-0.5,2.381102362,2.553633218,0,1,0,0,0
52,2011,Tiago Splitter,13.56097561,9.804878049,1.268292683,1.414634146,0.8292682927,738,60,6,0.5287958115,0.5428571429,0,0.149,-0.7,16,0.55,0.2,13.68056648,10.28166798,2.549173879,0.8214004721,0.8780487805,0.5231213873,0.6994219653,0,0.163,1.9,16.5,0.572,1.3,1.56097561,2.124311566,0,0,1,0,0
53,2011,Evan Turner,11.31886477,6.130217028,3.185308848,0.9816360601,0.2804674457,1797,78,14,0.4253308129,0.808,0.3181818182,0.06,-2.4,10.8,0.484,-0.2,17.92364793,6.146341463,3.779427359,1.06892895,0.09544008484,0.4283995187,0.8289473684,0.2878787879,0.017,-3.8,13.2,0.504,-0.9,1.602671119,2.95864263,0,0,1,0,0
54,2011,Ekpe Udoh,8.248543689,6.326213592,1.398058252,0.7689320388,3.005825243,1030,58,18,0.4369369369,0.65625,0,0.032,-2,9.7,0.472,0,6.447761194,6.626865672,1.388059701,0.671641791,1.970149254,0.3986013986,0.6382978723,0,0,-3.5,7.6,0.44,-0.3,1.677669903,1.701492537,0,1,0,0,0
55,2011,Greivis Vásquez,10.42325581,3.055813953,6.320930233,0.9209302326,0.1674418605,860,70,1,0.4077253219,0.7727272727,0.2906976744,0.03,-4.6,9.4,0.493,-0.6,15.94520548,3.808219178,6.246575342,0.6849315068,0.1095890411,0.4173228346,0.8552631579,0.3891213389,0.096,-0.8,14.2,0.537,0.4,2.930232558,2.767123288,0,0,1,0,0
56,2011,John Wall,15.62394474,4.379125096,7.929393707,1.671527245,0.4834996163,2606,69,64,0.4094650206,0.7659033079,0.2956521739,0.041,-0.2,15.8,0.494,1.2,19.12348993,4.022818792,8.710067114,1.8,0.4832214765,0.4330590875,0.8045685279,0.3506493506,0.128,2.6,19.5,0.524,3.4,3.60552571,3.563758389,0,0,0,1,0
57,2012,Lavoy Allen,9.75,9.865384615,1.961538462,0.75,1.038461538,624,41,15,0.4730538922,0.7857142857,0,0.124,-1.3,12.7,0.488,0.1,10.59813084,10.86728972,2.456074766,0.5046728972,1.413084112,0.4715719064,0.7021276596,0,0.127,0.8,14.9,0.493,0.8,1.153846154,1.345794393,0,1,0,0,0
58,2012,Bismack Biyombo,8.090721649,9.105154639,0.6680412371,0.4948453608,2.845360825,1455,63,41,0.464028777,0.4825174825,0,0.019,-3.9,10.6,0.48,-0.7,8.804505229,11.78761062,0.4633950121,0.5213193886,2.867256637,0.5430107527,0.5828571429,0,0.156,-0.4,15.2,0.578,0.5,1.756701031,1.506033789,0,1,0,0,0
